Timestamp,Ruta,ROI (%),Capital Final,Paso 1,Paso 2,Paso 3
2025-12-22 04:52:28,USDT->ARS->SOL->USDT,0.0292,20.005843,SELL USDT @ 1547.6,BUY SOL @ 195444.0,SELL SOL @ 126.61
2025-12-22 04:52:30,USDT->ARS->SOL->USDT,0.0292,20.005843,SELL USDT @ 1547.6,BUY SOL @ 195444.0,SELL SOL @ 126.61
2025-12-22 04:52:32,USDT->ARS->SOL->USDT,0.0421,20.008428,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.61
2025-12-22 04:52:34,USDT->ARS->SOL->USDT,0.0658,20.013169,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.64
2025-12-22 04:52:36,USDT->ARS->SOL->USDT,0.0816,20.016330,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.66
2025-12-22 04:52:38,USDT->ARS->SOL->USDT,0.0816,20.016330,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.66
2025-12-22 04:52:40,USDT->ARS->SOL->USDT,0.0816,20.016330,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.66
2025-12-22 04:52:42,USDT->ARS->SOL->USDT,0.1212,20.024231,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.71
2025-12-22 04:52:44,USDT->ARS->SOL->USDT,0.1212,20.024231,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.71
2025-12-22 04:52:46,USDT->ARS->SOL->USDT,0.1212,20.024231,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.71
2025-12-22 04:52:48,USDT->ARS->SOL->USDT,0.1291,20.025812,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.72
2025-12-22 04:52:50,USDT->ARS->SOL->USDT,0.1133,20.022651,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.7
2025-12-22 04:52:52,USDT->ARS->SOL->USDT,0.1291,20.025812,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.72
2025-12-22 04:52:54,USDT->ARS->SOL->USDT,0.1291,20.025812,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.72
2025-12-22 04:52:56,USDT->ARS->SOL->USDT,0.1291,20.025812,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.72
2025-12-22 04:52:58,USDT->ARS->SOL->USDT,0.1291,20.025812,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.72
2025-12-22 04:53:00,USDT->ARS->SOL->USDT,0.1133,20.022651,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.7
2025-12-22 04:53:02,USDT->ARS->SOL->USDT,0.1133,20.022651,SELL USDT @ 1547.8,BUY SOL @ 195444.0,SELL SOL @ 126.7
